supplier_gstin,trade_name,invoice_no,invoice_date,taxable_value,cgst,sgst,igst,invoice_value,itc_available,period,doc_kind,original_invoice_no
24AADCK7725H1ZJ,KRISHNA DYES AND CHEMICALS,KDC/2025/1053,2025-12-04,74820,0.0,0.0,8978.4,83798.4,Yes,2025-12,B2B,
27AAECM9932B1ZH,MEERA PACKAGING,MPK/2025/1054,2025-12-11,79555,7159.95,7159.95,0.0,93874.9,Yes,2025-12,B2B,
27AAFCN1180D1ZR,NAKODA TRANSPORT,NKT/2025/1055,2025-12-18,84290,2107.25,2107.25,0.0,88504.5,Yes,2025-12,B2B,
33AACCO4457E1ZO,OMKAR THREADS,OMT/2025/1056,2025-12-25,89025,0.0,0.0,16024.5,105049.5,Yes,2025-12,B2B,
29AAHCP6614J1Z1,PRAKASH MACHINERY SPARES,PMS/2025/1057,2025-12-05,93760,0.0,0.0,16876.8,110636.8,Yes,2025-12,B2B,
07AAKCR2093L1ZX,RIDDHI ENTERPRISES,RDE/2025/1058,2025-12-12,98495,0.0,0.0,11819.4,110314.4,Yes,2025-12,B2B,
27AAJCS5548M1ZN,SURYA POWER SOLUTIONS,SPS/2025/1059,2025-12-19,103230,9290.7,9290.7,0.0,121811.4,Yes,2025-12,B2B,
24AAECV7031N1Z3,VARDHMAN YARN TRADERS,VYT/2025/1060,2025-12-26,107965,0.0,0.0,19433.7,127398.7,Yes,2025-12,B2B,
27AAACA8842R1Z1,AMBIKA COTTON MILLS,ACM/2025/1061,2025-12-06,22700,2043.0,2043.0,0.0,26786.0,Yes,2025-12,B2B,
27AABCJ3310Q1ZG,JALAN SYNTHETICS,JSY/2025/1062,2025-12-13,27435,2469.15,2469.15,0.0,32373.3,Yes,2025-12,B2B,
24AADCK7725H1ZJ,KRISHNA DYES AND CHEMICALS,KDC/2025/1063,2025-12-20,32170,0.0,0.0,3860.4,36030.4,Yes,2025-12,B2B,
27AAECM9932B1ZH,MEERA PACKAGING,MPK/2025/1064,2025-12-27,36905,3321.45,3321.45,0.0,43547.9,Yes,2025-12,B2B,
27AAFCN1180D1ZR,NAKODA TRANSPORT,NKT/2025/1065,2025-12-07,41640,1041.0,1041.0,0.0,43722.0,Yes,2025-12,B2B,
33AACCO4457E1ZO,OMKAR THREADS,OMT/2025/1066,2025-12-14,46375,0.0,0.0,8347.5,54722.5,Yes,2025-12,B2B,
29AAHCP6614J1Z1,PRAKASH MACHINERY SPARES,PMS/2025/1067,2025-12-21,51110,0.0,0.0,9199.8,60309.8,Yes,2025-12,B2B,
07AAKCR2093L1ZX,RIDDHI ENTERPRISES,RDE/2025/1068,2025-12-01,55845,0.0,0.0,6701.4,62546.4,Yes,2025-12,B2B,
27AAJCS5548M1ZN,SURYA POWER SOLUTIONS,SPS/2025/1069,2025-12-08,60580,5452.2,5452.2,0.0,71484.4,Yes,2025-12,B2B,
24AAECV7031N1Z3,VARDHMAN YARN TRADERS,VYT/2025/1070,2025-12-15,65315,0.0,0.0,11756.7,77071.7,Yes,2025-12,B2B,
27AABCJ3310Q1ZG,JALAN SYNTHETICS,JSY/2025/0512,2025-12-09,88000,7920.0,7920.0,0.0,103840.0,Yes,2025-12,B2B,
27AAJCS5548M1ZN,SURYA POWER SOLUTIONS,SPS/2025/0233,2025-12-12,51800,4662.0,4662.0,0.0,61124.0,Yes,2025-12,B2B,
27AAEXM9932B1ZH,MEERA PACKAGING,MPK/2025/0740,2025-12-15,43600,3924.0,3924.0,0.0,51448.0,Yes,2025-12,B2B,
24AAECV7031N1Z3,VARDHMAN YARN TRDRS,VYT/2025/0388,2025-12-16,56000,0.0,0.0,10080.0,66080.0,Yes,2025-12,B2B,
29AAHCP6614J1Z1,PRAKASH MACHINERY SPARES,PMS/2025/0199,2025-12-05,45000,0.0,0.0,8100.0,53100.0,Yes,2025-12,B2BA-ORIGINAL,
29AAHCP6614J1Z1,PRAKASH MACHINERY SPARES,PMS/2025/0199,2025-12-05,47500,0.0,0.0,8550.0,56050.0,Yes,2025-12,B2BA,PMS/2025/0199
27AABCJ3310Q1ZG,JALAN SYNTHETICS,JSY/2025/0587,2025-12-26,33000,2970.0,2970.0,0.0,38940.0,Yes,2025-12,B2B,
27AAFCN1180D1ZR,NAKODA TRANSPORT,NKT/2025/0912,2025-12-27,12400,310.0,310.0,0.0,13020.0,Yes,2025-12,B2B,
27AAQCZ8814P1Z4,ZENITH METALS,ZM/2025/0077,2025-12-28,158000,14220.0,14220.0,0.0,186440.0,Yes,2025-12,B2B,
